Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,28,3,T:System.Windows.Style,,,,,solCol1.ElementStyle = DataGridTextColumnElementStyle;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,28,3,P:System.Windows.Controls.DataGridBoundColumn.ElementStyle,,,,,solCol1.ElementStyle = DataGridTextColumnElementStyle;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,27,3,T:System.Windows.Controls.DataGridTextColumn,,,,,"solCol1.Header = ""Path"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,27,3,P:System.Windows.Controls.DataGridColumn.Header,,,,,"solCol1.Header = ""Path"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,26,3,T:System.Windows.Controls.DataGridTextColumn,,,,,"solCol0.Header = ""Solution"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,26,3,P:System.Windows.Controls.DataGridColumn.Header,,,,,"solCol0.Header = ""Solution"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,25,3,T:System.Windows.Data.Binding,,,,,"solCol1.Binding = new Binding(""ThisSolutionPath"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,25,3,M:System.Windows.Data.Binding.#ctor(System.String),,,,,"solCol1.Binding = new Binding(""ThisSolutionPath"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,25,3,T:System.Windows.Controls.DataGridTextColumn,,,,,"solCol1.Binding = new Binding(""ThisSolutionPath"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,25,3,T:System.Windows.Data.BindingBase,,,,,"solCol1.Binding = new Binding(""ThisSolutionPath"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,25,3,P:System.Windows.Controls.DataGridBoundColumn.Binding,,,,,"solCol1.Binding = new Binding(""ThisSolutionPath"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,24,3,T:System.Windows.Data.Binding,,,,,"solCol0.Binding = new Binding(""ThisSolutionName"");"
